election,election_date,precinct_code,precinct_name,contest,contest_resolved,choice,choice_raw,votes,row_type,name_resolved
2026 Primary Election,2026-05-05,0036,American E,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,2,tally,
2026 Primary Election,2026-05-05,0036,American E,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,38,tally,
2026 Primary Election,2026-05-05,0037,American F,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,32,choice,yes
2026 Primary Election,2026-05-05,0037,American F,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,32,tally,
2026 Primary Election,2026-05-05,0037,American F,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0037,American F,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,3,tally,
2026 Primary Election,2026-05-05,0037,American F,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,35,tally,
2026 Primary Election,2026-05-05,0038,American G,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,50,choice,yes
2026 Primary Election,2026-05-05,0038,American G,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,50,tally,
2026 Primary Election,2026-05-05,0038,American G,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0038,American G,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0038,American G,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,50,tally,
2026 Primary Election,2026-05-05,0039,American H,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,35,choice,yes
2026 Primary Election,2026-05-05,0039,American H,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,35,tally,
2026 Primary Election,2026-05-05,0039,American H,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0039,American H,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,0,tally,
2026 Primary Election,2026-05-05,0039,American H,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,35,tally,
2026 Primary Election,2026-05-05,0040,American I,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,33,choice,yes
2026 Primary Election,2026-05-05,0040,American I,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,33,tally,
2026 Primary Election,2026-05-05,0040,American I,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0040,American I,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,1,tally,
2026 Primary Election,2026-05-05,0040,American I,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,34,tally,
2026 Primary Election,2026-05-05,0041,American J,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,31,choice,yes
2026 Primary Election,2026-05-05,0041,American J,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,31,tally,
2026 Primary Election,2026-05-05,0041,American J,Dem For Governor and Lieutenant Governor,yes,Overvotes,Overvotes,0,tally,
2026 Primary Election,2026-05-05,0041,American J,Dem For Governor and Lieutenant Governor,yes,Undervotes,Undervotes,4,tally,
2026 Primary Election,2026-05-05,0041,American J,Dem For Governor and Lieutenant Governor,yes,Contest Total,Contest Total,35,tally,
2026 Primary Election,2026-05-05,0042,American K,Dem For Governor and Lieutenant Governor,yes,Amy Acton,Amy Acton,48,choice,yes
2026 Primary Election,2026-05-05,0042,American K,Dem For Governor and Lieutenant Governor,yes,Total Votes Cast,Total Votes Cast,48,tally,
